唉声叹气	哀声叹气
弹丸之地	蛋丸之地
无可非议	无可非异
孑然一身	洁然一身
直言不讳	直言不晦 执言不讳 直言不诲 直言不悔
锋芒毕露	锋芒必露 峰芒毕露
顾名思义	故名思义
适得其反	事得其反
劳逸结合	劳役结合
占了上风	占了上峰
包罗万象	包罗万项 包罗万像
轻而易举	轻而一举
不可名状	不可名壮 不可明状
道貌岸然	道貌暗然 道貌安然
浮想联翩	浮想联篇 浮想连翩
物极必反	物及必反 物极必返
无可置疑	无可质疑
岌岌可危	及及可危
人才辈出	人才倍出
养尊处优	养尊处悠
受益匪浅	受益非浅
不求甚解	不求慎解 不求深解
自力更生	自立更生
不可救药	不可救要 不可就药
忧心忡忡	忧心冲冲 忧心重重 忧心憧憧
孩提时代	孩啼时代
蒸蒸日上	争争日上
至关重要	致关重要
功不可没	功不可抹
应变能力	应辨能力
姗姗来迟	跚跚来迟 珊珊来迟
仁至义尽	人至义尽
意气用事	义气用事
余勇可贾	余勇可沽 余勇可估
永葆青年	永保青年
举棋不定	举旗不定
无则加勉	无则加免
贸然行动	冒然行动
当务之急	当物之急
莘莘学子	辛辛学子
比比皆是	彼彼皆是
百孔千疮	百孔千窗
韦编三绝	苇编三绝
一本万利	一本万历
势均力敌	势均利敌 势匀力敌
冥思苦想	瞑思苦想 名思苦想
权宜之计	全宜之计
一蹶不振	一獗不振
大器晚成	大气晚成
大名鼎鼎	大名顶顶
立案侦查	立案侦察
沟通南北	勾通南北
纷至沓耒	纷至踏耒
倚老卖老	依老卖老 以老卖老
口蜜腹剑	口密腹箭
不即不离	不及不离 不接不离 不既不离
一泻千里	一泄千里
杞人忧天	齐人忧天 岂人忧天
坐地分赃	坐地分脏
装潢门面	装黄门面
乌合之众	污合之众 乌和之众
疾风知劲草	急风知劲草
爱戴	爱带
白皙	白晰
暴乱	爆乱
报酬	报筹
爆炸	暴炸
卑怯	卑却
才华	财华 材华
喝彩	喝采
遨游	翱游
娘俩	娘两
更迭	更跌 更叠
洽商	恰商
玷辱	沾辱
仲裁	中裁
雕砌	雕彻
辟谣	劈谣
名片	明片
藐视	渺视 缈视
暮然	募然
募捐	蓦捐
杂沓	杂踏
弈棋	奕棋
疏浚	疏峻
吉祥	吉详 吉羊
肖像	肖象
开销	开消
伫立	贮立 纻立
皱纹	绉纹
燥热	躁热
肿胀	肿涨
羁縻	羁靡
翱翔	遨翔
渲染	宣染
延伸	延申
奢靡	赊靡 奢糜
毗邻	辟邻 毗临
彪悍	骠悍
永诀	永决
拥戴	拥带
煤炭	煤碳
编撰	编篡
按摩	按磨
暴躁	爆躁 暴燥
显像管	显象管
暴发户	爆发户
肇事者	造事者
坐标系	座标系
照相机	照像机
暖烘烘	暖哄哄
座右铭	坐右铭
名信片	明信片
天然气	天然汽
煤气机	煤汽机
引申义	引伸义
雄赳赳	雄纠纠
冷不防	冷不妨
佼佼者	皎皎者
财务科	财物科
文邹邹	文诌诌
副食品	付食品
百炼成钢	百练成钢
火山爆发	火山暴发
爱不释手	爱不失手
安居乐业	按居乐业
黯然泪下	暗然泪下
暗无天日	黯无天日
嗷嗷待哺	敖敖待哺
决不罢休	绝不罢休
白璧微瑕	白壁微瑕
半途而废	半途而费
山洪暴发	山洪爆发
武装暴动	武装爆动
五色斑斓	五色斑澜
百步穿杨	百步串杨
百尺竿头	百尺杆头
罢黜百家	罢绌百家
原物璧还	原物必还
森严壁垒	森严壁磊
能言善辩	能言善辨
膘肥体壮	骠肥体壮
彪炳千古	标柄千古
彬彬有礼	斌斌有礼 彬彬有理 杉杉有理
屏气凝神	摒气凝神
拨乱反正	拨乱返正
人所不齿	人所不耻
不共戴天	不共带天
不寒而栗	不寒而粟 不寒而立
不遑顾及	不惶顾及
不刊之论	不堪之论
不名一文	不明一文
宁死不屈	宁死不曲
麻木不仁	麻木不忍
不祥之兆	不详之兆 不详之照
步履维艰	步履维坚
雄才大略	雄材大略
才疏学浅	材疏学浅 才疏学贱
神采奕奕	神采弈弈
才华横溢	才华横益 材华横溢
兴高采烈	兴高采列 兴高彩烈
张灯结彩	张灯结采
粲然一笑	灿然一笑
苍茫大海	沧茫大海
藏垢纳污	藏诟纳污
层出不穷	成出不穷
层见叠出	层见迭出
蝉联冠军	蝉连冠军
陈陈相因	陈陈相应
自学成材	自学成才
惩一儆百	惩一禁百
吃里扒外	吃里爬外
首当其冲	首当其中 首当其充
山峦重叠	山峦重迭
重振旗鼓	重整旗鼓
除旧布新	除旧补新
处心积虑	处心集虑
传诵一时	传颂一时
吹毛求疵	吹毛求刺 吹毛求呲
从长计议	从常计议
粗枝大叶	粗枝大意
厝火积薪	措火积薪
措手不及	错手不及
大放厥词	大放獗词
大庭广众	大廷广众
倒打一耙	倒打一把
得不偿失	得不赏失 得不尝失
得陇望蜀	得垄望蜀
地大物博	地大物搏
草木凋零	草木雕零
掂斤播两	掂斤拨两
雕虫小技	凋虫小技
调虎离山	吊虎离山
动则得辄	动则得咎
叠床架屋	迭床架屋
以毒攻毒	以毒功毒
独当一面	独挡一面
独占鳌头	独占骜头 独占螯头
嫉贤妒能	疾贤妒能
断章取义	断章取意
杜绝浪费	堵绝浪费
对症下药	对针下药
两军对峙	两军对恃
发号施令	发号司令
令人发指	令人发直
繁文缛节	繁文溽节 烦文缛节
易如反掌	易如翻掌
防范未然	防患未燃
蜚声文坛	飞声文坛
纲纪废弛	纲纪废驰
废寝忘食	费寝忘食
费尽心思	废尽心思
分庭抗礼	分庭抗理
纷至沓来	纷至踏来
焚膏继晷	焚膏既晷
愤懑不平	愤闷不平
奋笔疾书	愤笔疾书
幅员辽阔	幅圆辽阔
浮光掠影	浮光略影
改邪归正	改斜归正
甘之如饴	甘之如怡
感恩戴德	感恩带德
根深蒂固	根深底固 根深地固
工力悉敌	工力悉抵
全神贯注	全神灌注
鬼斧神工	鬼釜神工 鬼斧神功
过犹不及	过尤不及 过忧不及
和衷共济	合衷共济
后发制人	后发治人
画地为牢	划地为牢
回光返照	回光反照
昏聩无能	昏馈无能
独具慧眼	独具惠眼
浑玉璞金	浑玉朴金
豁然开朗	忽然开朗
祸国殃民	祸国秧民
激浊扬清	击浊扬清
疾言厉色	急言厉色
集腋成裘	集液成裘 集掖成裘
济济一堂	挤挤一堂
继往开来	既往开来
嘉言懿行	佳言懿行
坚壁清野	艰壁清野
坚不可摧	艰不可摧
历尽艰辛	历尽坚辛
可资借鉴	可资借戒
弱不禁风	弱不经风
金刚怒目	金刚努目
金刚钻头	金钢钻头
绝无仅有	决无仅有
跻身三强	挤身三强
精诚所至	精诚所致
居心叵测	居心不测
鸠形鹄面	鸩形鹄面
举一反三	举一返三
拒谏饰非	拒谏是非
一应俱全	一应具全
赞不绝口	赞不决口
竣工验收	峻工验收
开诚布公	开诚不公
开天辟地	开天劈地
开源节流	开源截流
戡平叛乱	勘平叛乱
刻画人物	刻划人物
科头跣足	科头洗足
克己奉公	刻己奉公
克勤克俭	刻勤刻俭
困兽犹斗	困兽尤斗
意兴阑珊	意兴阑姗
宁缺毋滥	宁缺毋烂
老成持重	老陈持重
老奸巨猾	老奸巨滑
雷厉风行	雷历风行
其乐陶陶	其乐淘淘
理屈词穷	理曲词穷
立功赎罪	立功渎罪
厉行节俭	励行节约
历历在目	厉厉在目
藕断丝连	偶断丝连 藕断丝联
连锁反应	连锁反映
寥若晨星	寥若辰星 廖若晨星
横征暴敛	横征暴殓
浏览报纸	流览报纸
老态龙钟	老态龙肿
崭露头角	暂露头角
炉火纯青	炉火成青
膂力过人	旅力过人
沦肌浃髓	沦肌夹髓
无与伦比	无与论比
论功行赏	轮功行赏
慢条斯理	漫条斯理
漫不经心	慢不经心
茫无头绪	茫无头序
贸然从事	冒然从事
门里出身	门里出生
门庭若市	门廷若市
懵懂无知	朦懂无知
糜烂不堪	靡烂不堪
靡日不思	糜日不思
靡靡之音	糜糜之音
天下靡然	天下糜然
祖传秘方	祖传密方
沉湎往事	沉缅往事
缅怀先烈	湎怀先烈
深明大义	深明大意
薄暮瞑瞑	薄暮冥冥
明哲保身	名哲保身
摩肩擦背	磨肩擦背
摩崖石刻	磨崖石刻
顶礼膜拜	顶礼模拜 顶礼莫拜
莫名其妙	莫明其妙
穷途末路	穷途没路
没齿难忘	末齿不忘
暮霭沉沉	暮蔼沉沉
令人目眩	令人目炫
水力发电	水利发电
各司其职	各施其职
铄石流金	烁石流金
司空见惯	司空见怪
耸人听闻	悚人听闻
追本溯源	追本朔源
素昧平生	素昧平身
昙花一现	昙花一显
袒胸露臂	坦胸露臂
长吁短叹	长嘘短叹
桃李满园	桃梨满园
誊写文章	誉写文章
醍醐灌顶	醍醐贯顶
天经地义	天经地仪
天理难容	天礼难容
亭亭玉立	婷婷玉立
通情达理	通情达礼
同等学力	同等学历
痛心疾首	疾心痛首 痛心嫉首
偷工减料	偷工简料
头头是道	投投是道
图谋不轨	图谋不规
生灵涂炭	生灵涂碳
推诚相见	推陈相见
推崇备至	推崇倍至
推脱责任	推托责任
推心置腹	推心至腹 推心知腹
囤积居奇	屯积居奇
歪门邪道	歪门斜道
玩世不恭	玩世不公
万古长青	万古常青
万贯家财	万冠家财
万籁俱寂	万籁具寂
忘恩负义	忘恩负意
忘乎所以	忘夫所以
望而却步	望而怯步
望洋兴叹	望洋心叹
正襟危坐	正襟威坐 正襟围坐
精神矍铄	精神矍烁 精神矍砾
危言耸听	危言悚听
危如累卵	危如磊卵
为富不仁	为富不人 为富不忍
委曲婉转	委屈婉转
尾大不掉	尾大不吊
文恬武嬉	文恬武嘻
有条不紊	有条不稳
无人问津	无人问斤
左右开弓	左右开工
做贼心虚	作贼心虚
坐以待毙	坐以待毖
座无虚席	坐无虚席
暴戾恣睢	暴烈恣睢
自食其力	自食其利
自命不凡	自命不繁 自鸣不凡 自名不凡
纵横阖合	纵横捭合
足智多谋	卓智多谋
飞机着陆	飞机着落
谆谆告诫	谆谆告戒
抓耳挠腮	抓耳扰腮
钟灵毓秀	钟灵玉秀
奋斗终生	奋斗终身
终身大事	终生大事
仲裁委员	仲栽委员
寡不敌众	寡不抵众
不负众望	不浮众望
口诛笔伐	口株笔伐
赈济灾民	振济灾民
指手画脚	指手划脚
郑重其事	珍重其事 郑重其实
执迷不悟	执迷不吾 执谜不悟
标本兼治	表本兼治
治丝益棼	治丝益纷
志大才疏	志大材疏
专心致志	专心至志
秩序井然	轶序井然
振振有词	震震有词
振奋人心	震奋人心
振笔疾书	振笔急书
远见卓识	远见灼识
真相大白	真象大白
浅尝辄止	浅尝则止
作奸犯科	作奸犯课
重重叠叠	重重迭迭
照本宣科	照本宣课
昭然若揭	照然若揭
招惹是非	招惹事非
彰善瘅恶	彰善惮恶
战战兢兢	战战惊惊
斩钉截铁	斩钉载铁 斩钉接铁
沾沾自喜	玷玷自喜
沾亲带故	玷亲带故 拈亲带故
令人咋舌	令人乍舌
不骄不躁	不骄不燥
栽赃陷害	栽脏陷害
殒身不恤	陨身不恤 损身不恤
越俎代庖	越俎待庖 越俎代包
园林园丁	圆林圆丁
园地园艺	圆地圆艺
坐收渔利	坐收鱼利 座收渔利
囿于成见	宥于成见
沽名钓誉	估名钓誉 姑名钓誉
有口皆碑	有口皆杯
耳根清净	耳根清静
利害攸关	利害悠关
踊跃报名	涌跃报名
勇往直前	永往直前
永葆青春	永保青春
一拥而入	一涌而入
壅塞不通	拥塞不通
雍容华贵	壅荣华贵
隐隐约约	影影约约
影影绰绰	隐隐绰绰
引咎自责	引疚自责
因地制宜	因地治宜
学习肄业	学习肆业
义无反顾	义无返顾
义正词严	意正词严
意气风发	义气风发
不郎不秀	不郎不莠
词不达意	词不达义
因噎废食	因壹废食 因噎费食
倚仗权势	依仗权势
贻害无穷	遗害无穷
怡然自得	贻然自得
以一当十	以一挡十
毫无疑义	毫无疑议
移花接木	移花截木
不遗余力	不遣余力 不贻余力 不一余力
一视同仁	一视同人
一脉相承	一脉相成
一概而论	一盖而论
一蹴而就	一促而就
一成不变	一层不变
吊销执照	吊消执照
弃甲曳兵	弃甲拽兵
耀武扬威	跃武扬威
趾高气扬	指高气扬 志高气扬
洋洋洒洒	扬扬洒洒
手疾眼快	手急眼快
演绎推理	演译推理
沿袭成规	延袭成规
严正声明	严正申明
严阵以待	严阵以代 严正以待
言不由衷	言不由中
和颜悦色	和彦悦色 和言悦色
恹恹欲睡	厌厌欲睡
徇情枉法	殉情枉法
以身殉国	以身徇国
泱泱大国	怏怏大国 央央大国
不足为训	不作为训
气度不凡	器度不凡
轩然大波	喧然大波
千头万绪	千投万绪 千头万序
自我吹嘘	自我吹吁
大相径庭	大相胫庭 大相径廷
嘘寒问暖	吁寒问暖 虚寒问暖
沆瀣一气	沆泄一气
心安理得	心安礼得 心安里得
心旷神怡	心旷神饴
惺惺作态	猩猩作态
凶相毕露	凶相必露
热胀冷缩	热涨冷缩
直抒胸臆	直抒胸意
秀外慧中	秀外惠中
扶老携幼	扶老偕幼 扶老携幻
白头偕老	白头携老
不拘小节	不拘小结 不驹小节
风雨潇潇	风雨萧萧
逍遥法外	消遥法外
宵衣旰食	宵衣肝食 宵衣干食
响彻云霄	响彻云宵
降龙伏虎	降龙服虎
安之若素	安置若素
先礼后兵	先理后兵
先发制人	先发治人
下车伊始	下车一始
遐迩闻名	瑕迩闻名
丢人现眼	丢人显眼
现身说法	显身说法
细枝末节	细枝末结
喜出望外	喜出往外
畏葸不前	畏崽不前
作息时间	作歇时间
息事宁人	歇事宁人
除恶务尽	除恶勿尽
五体投地	五体头地
五彩斑斓	五彩斑烂 五彩班斓
无懈可击	无泄可击
无隙可乘	无细可乘
无所适从	无所是从
无所不至	无所不致
无事生非	无是生非
无坚不摧	无艰不摧
无济于事	无计于事
无稽之谈	无嵇之谈 无机之谈 无讥之谈 无计之谈
株连无辜	诛连无辜
无耻之尤	无耻之犹
翻来覆去	反来复去
瓮中捉鳖	翁中捉鳖
瓮声瓮气	翁声翁气
涨红了脸	胀红了脸
坂上走丸	板上走丸
莫可名状	莫可明状
循规蹈矩	循规导矩
三番五次	三翻五次
评头论足	评头评足
史无前例	史无前列 世无前例
煞费苦心	煞废苦心 杀费苦心
大伤元气	大伤原气
丰富多彩	丰富多采
众目睽睽	众目暌暌 众目癸癸
洗耳恭听	洗耳躬听
人心向背	人心项背
万象更新	万相更新
毋庸讳言	毋用讳言
支吾其词	支无其词
切磋琢磨	切搓琢磨
无妄之灾	无忘之灾
不言而喻	不言而渝 不言而语
不吝赐教	不另赐教
尽心竭力	尽心极力
言之凿凿	言之足足
投鼠忌器	投鼠计器
形影相吊	形影相掉
含蓄蕴藉	含蓄蕴籍
安装电话	按装电话
如期竣工	如期峻工
以偏概全	以偏盖全
九州方圆	九洲方圆
黯然销魂	暗然销魂
磕磕绊绊	磕磕拌拌
官运亨通	官运享通
临摹书法	临摩书法
掎角之势	奇角之势
按兵不动	安兵不动
挑肥拣瘦	挑肥捡瘦
肺腑之言	肺腹之言
如鲠在喉	如梗在喉
愤世嫉俗	愤世疾俗
明珠暗投	名珠暗投
苦思冥想	苦思瞑想
各抒己见	各书己见 各抒已见
按图索骥	按途索骥
暴殄天物	暴珍天物 暴舔天物
寻章摘句	循章摘句
桀骜不驯	桀鳌不驯 桀傲不驯
万马齐喑	万马齐暗
以身作则	以身作责
衷心感谢	中心感谢
一见钟情	一见衷情
摇摇欲坠	摇摇欲堕
虚左以待	虚座以待
原形毕露	原形必露
蓄意报复	蓄意抱复
以德报怨	以德抱怨
投桃报李	投桃抱李
抱怨不堪	报怨不堪
深受蒙蔽	深受蒙敝
备受欢迎	倍受欢迎
艰苦备尝	艰苦倍尝
神采飞扬	神彩飞扬
风采动人	风彩动人
保护国粹	保护国萃
连篇累牍	连篇累椟
穷兵黩武	穷兵渎武
老实本分	老实本份
分内之事	份內之事 份内之事
返工重来	反工重来
认罪伏法	认罪服法
拾金不昧	拾金不味
广有羽翼	广有羽冀
斐然成章	蜚然成章 菲然成章
明察秋毫	明察秋豪
爱慕虚荣	爱幕虚荣
微不足道	微不足到
垂头丧气	垂头伤气
取义成仁	取义成人
神妙莫测	神妙漠测
奄奄一息	淹淹一息
万贯家私	万惯家私
拂袖而去	佛袖而去
峨冠博带	峨冠搏带
熟能生巧	孰能生巧
怪涎不经	怪涎不径
欣欣向荣	新新向荣
扬扬自得	杨杨自得
依稀可见	依希可见
血气方刚	血气放刚
纵横决荡	纵横绝荡
大显身手	大献身手
精雕细琢	精雕细啄
挥汗如雨	挥汉如雨
得意忘形	得意忘行
漠然置之	莫然置之
生死攸关	生死悠关
呼朋引伴	呼朋引半
爱屋及乌	爱屋及巫 爱乌及屋 爱乌及巫
网开一面	妄开一面
方兴未艾	方兴未爱
梦寐以求	梦昧以求
万劫不复	万阶不复
囊中羞涩	馕中羞涩
闪烁其辞	闪烁其词
风驰电掣	风弛电掣 风驰电擎
肃然起敬	萧然起敬
恍然大悟	晃然大悟
合纵连横	合从连横
冰清玉洁	冰青玉洁
休戚与共	休威与共
心猿意马	心袁意马
鸦雀无声	鸦鹊无声
铁杵磨针	铁柱磨针
络绎不绝	络驿不绝 落绎不绝
波涛汹涌	波涛凶涌
重峦叠嶂	重峦叠樟
绰绰有余	卓卓有余
达官贵人	大官贵人
大雨滂沱	大雨磅礴 大雨磅砣
睹物思人	堵物思人
度日如年	渡日如年
纷纷扬扬	纷纷杨杨
想入非非	想入菲菲
人迹罕至	人迹罕致
置之度外	置之渡外
温故知新	湿故知新
蹉跎岁月	蹉驼岁月
措不及防	瘁不及防
忐忑不安	忑忐不安
无缘无故	无原无故
阿谀奉承	阿臾奉承
忍俊不禁	忍骏不禁
囫囵吞枣	囫囵舌枣
人声鼎沸	人声鼎拂
朗朗上口	琅琅上口 郎郎上口
声泪俱下	声泪具下
感慨良深	感概良深
妄下断语	忘下断语
屈尊纡贵	曲尊纡贵
大失所望	大失所忘
无动于衷	无动于中 无动于衰
诲人不倦	悔人不倦
手足无措	手足无错
判若两人	叛若两人
穷困潦倒	穷困缭倒 穷困撩倒
惊慌失措	惊皇失措 惊荒失措
张牙舞爪	张芽舞爪
声名狼籍	声鸣狼籍
绝路逢生	绝路蓬生
不知所措	不知所错
任劳任怨	任劳任恕
辨伪去妄	辩伪去忘
巧妙绝伦	巧妙绝轮
妄自菲薄	忘自菲薄
不攻自破	不功自破
百废俱兴	百费俱兴
自吹自擂	自吹自雷
妄自尊大	忘自尊大 枉自尊大
相提并论	相题并论
脍灸人口	哙灸人口
锲而不舍	契而不舍
雷霆万钧	雷霆万钩
桀骜不逊	桀鹜不逊
层峦迭嶂	层峦迭障
游目骋怀	游目聘怀
见风使舵	见风驶舵
蜂拥而入	蜂涌而入
驾轻就熟	架轻就熟
进退维谷	进退唯谷
鳞次栉比	麟次栉比 璘次栉比 鳞次节比 磷次栉比
米珠薪桂	米珠薪贵
毁家纾难	毁家抒难
安步当车	安部当车
并驾齐驱	并驾齐躯
大是大非	大事大非
退避三舍	退辟三舍
饿殍遍野	饿浮遍野
琳琅满目	琳郎满目 琳朗满目
婀娜多姿	阿那多姿
蓬头垢面	蓬头诟面
追名逐利	追名遂利
怡神悦目	贻神悦目
贫贱不移	贫践不移
狼狈不堪	狼狈不勘
怏怏不快	泱泱不快
耳闻目睹	耳闻目赌
杳无消息	查无消息
一意孤行	一意弧行
怀才不遇	怀材不遇
扣人心扉	扣人心肺
扶摇直上	扶遥直上
冉冉不绝	再再不绝
滔滔不绝	涛涛不绝
屡见不鲜	缕见不鲜
引喻失义	引谕失意
坦荡如砥	坦荡如坻
形影不离	行影不离
离弦之箭	离玄之箭
投机取巧	头机取巧
虚张声势	虚张生势
声色俱厉	声色具历
姹紫嫣红	姹紫艳红 诧紫嫣红
小心翼翼	小心冀冀
扣人心弦	扣人心玄
劳而无功	劳而无工
不屑置辩	不屑置辨
今非昔比	今非昔此
仗势欺人	仗事欺人
深居简出	深居俭出
终南捷径	终南捷境
苟全性命	荀全性命
觥筹交错	觥筹交措
妙手偶得	妙手隅得
旁逸斜出	旁逸邪出
错综复杂	锗踪复杂
老当益壮	老当益状
挑拨离间	挑拔离间
招是搬非	招事搬非
绝不雷同	决不雷同
就地取材	就地取才
椎心泣血	锥心泣血
炯炯有神	迥迥有神
济寒赈贫	济寒振贫
失魂落魄	失魄落魂
披荆斩棘	披荆崭棘
长篇累牍	长篇累椟
满目疮痍	满目创痍
冠冕堂皇	官冕堂皇 冠冕堂黄
残羹冷炙	残羹冷灸
勃然大怒	脖然大怒
故步自封	故不自封
固若金汤	故若金汤
故伎重演	故技重演
推陈出新	推阵出新
明眸善睐	明牟善睐
一言不合	一言不和
不知所终	不知所踪
张弛有度	张驰有度
耳熟能详	耳熟能祥
萍水相逢	苹水相逢
幡然醒悟	翻然醒悟
独树一帜	独树一指 独竖一帜
目不识丁	目不识钉
斤斤计较	津津计较
津津乐道	斤斤乐道
浑身解数	浑身懈数
心无旁骛	心无旁鹜
侃侃而谈	砍砍而谈
无可厚非	无可后非
酩酊大醉	酩顶大醉
相濡以沫	相儒以沫
未雨绸缪	未雨绸谬
胸有成竹	匈有成竹
心血来潮	心血来朝
心慈手软	心兹手软
心花怒放	心花努放
先入为主	先人为主
惺惺相惜	惺惺相昔
浮云蔽日	浮云敝日
披星带月	披星戴月
张冠李戴	张冠李带
可见一斑	可见一班
同甘共苦	同干共苦
高枕无忧	高枕无优
孤陋寡闻	孤漏寡闻
高深莫测	高深莫侧
寿终正寝	寿终正顷
随波逐流	隋波逐流
长途跋涉	长途拔涉
摧枯拉朽	摧枯拉巧
东施效颦	东施效频
对酒当歌	对洒当歌
画龙点睛	画龙点晴
登峰造极	登锋造极 登峰造及
返璞归真	反璞归真
逢场作戏	逢场做戏
厚积薄发	厚积簿发
精忠报国	精衷报国
惊涛骇浪	惊滔骇浪 惊涛害浪
嫉恶如仇	疾恶如仇
含情脉脉	含情默默
大言不惭	大言不渐
不肖子孙	不屑子孙
弹冠相庆	弹管相庆
含英咀华	含英咀花
积重难返	积重难反
祸起萧墙	祸起硝墙
放浪形骸	放浪形骇
心仪已久	心益已久
捉襟见肘	捉禁见肘
乐此不疲	乐此不皮
高屋建瓴	高屋建领
风华正茂	风华正貌
冰释前嫌	冰释前贤
面授机宜	面授机益
耳提面命	耳题面命
尽态极妍	尽态极艳
怒不可遏	怒不可扼
恃才放旷	适才放旷
期期艾艾	期期哀哀
道听途说	道听涂说
非同凡响	非同繁响
万恶不赦	万恶不射
恪尽职守	克尽职守
天衣无缝	天衣无逢
自出心裁	自出新裁
相得益彰	相得益张
悲欢离合	悲欢离和
屈指可数	曲指可数
臵若罔闻	臵若往闻
壮志难酬	壮志难筹
变化无常	变化无长
多愁善感	多仇善感
绝处逢生	绝处缝生
突如其来	突如奇来
泾渭分明	径渭分明 经伟分明
矢志不渝	矢志不逾
一帆风顺	一番风顺
如出一辙	如出一则
一刀两断	一刀两段
急功近利	急攻近利
功篑一匮	功亏一匮
虎视眈耽	虎视耽耽
终生事业	终身事业
公之于众	公诸于众
复原无瑕	复原无暇
体制机制	体质机制
进行激辩	进行激辨
深刻吸取	深刻听取
互联互通	互连互通
截至目前	截止目前
未辨真假	未辩真假
岐澳古道	歧澳古道
一手好字	一首好字
做好表率	作好表率
横扫对手	横少对手
提出议案	提出一案
拍照留念	拍照留恋
真抓实干	真扎实干
有所改变	有所改编
观光农业	光观农业
部门之间	部门只见
技术骨干	技术贵干
筚路蓝褛	筚路褴褛
蜿蜒曲折	宛然曲折
妙趣横生	妙脆横生
未解之谜	未解之迷
亲生父母	亲身父母
黄埔军校	黄浦军校
不苟言笑	不拘言笑
即便如此	既便如此
河清海晏	海清河晏
不依不饶	不依不挠
知识分子	知识份子
拴心留人	栓心留人
卷帙浩繁	卷轶浩繁
实至名归	名至实归
嗷敖待哺	敖敖待哺
既往不究	继往不究
防患未然	防患未燃
付诸东流	付之东流
浑浑噩恶	浑浑恶恶
克勤刻俭	刻勤刻俭
其乐陶淘	其乐淘淘
将功赎罪	将功渎罪
历厉在目	厉厉在目
一鳞半爪	一麟半爪
勠力同心	戳力同心
薄暮暝冥	薄暮冥冥
没齿不忘	末齿不忘
头投是道	投投是道
推托生病	推脱生病
受到威胁	收到威胁
早在去年	早再去年
不孚众望	不浮众望
振震有词	震震有词
重重叠迭	重重迭迭
芸纭众生	纭纭众生
园林圆丁	圆林圆丁
园地圆艺	圆地圆艺
雍荣华贵	壅荣华贵
临危受命	临急受命
毫无义议	毫无疑议
逸劳永易	一劳永易
歌舞升平	歌舞生平
藏污纳垢	藏污纳诟
气急败坏	气极败坏
千古一恸	千古一痛
前车之鉴	前车之戒
深致歉意	深致欠意
窥视	睽视
匮乏	馈乏 篑乏 溃乏
恣意	姿意
亲昵	亲呢
崇高	祟高
惩罚	尝罚
苔藓	台藓
贷款	袋款 帒款
莅临	位临
驱赶	袪赶
锦盒	錦盒
处置	处治
梳理	疏理
肄业	肆业 意业
鲤鱼	俚鱼 理鱼
辍学	缀学 掇学
疫情	役情
蹊跷	蹊翘 溪跷 奚跷
戊戌	戊戍
委屈	委曲
遗憾	遗撼
奋发	愤发
分歧	分岐
诬告	污告
醍醐	提醐
通讯员	通迅员
传闻	传文
凝聚	疑聚
旱灾	早灾
国籍	国藉
余悸	余季
花哨	花俏 花销
客栈	客站
户口簿	户口薄
讯号	迅号
油然	由然
导致	导至
震惊	振惊
荒芜	荒无
公顷	公倾
篮球	蓝球
斟酌	针酌
登录	登陆
针灸	针炙
擅自	善自
砝码	法码
莞尔	完尔
幌子	愰子 晃子
蜡烛	腊烛
笨拙	笨绌
总决赛	总结赛
猥亵	偎亵
缩水	宿水
炮制	泡制 跑制
对弈	对奕
情愫	情素
蓦然	募然
优惠券	优惠卷
博物	薄物
歧视	岐视
滑稽	滑嵇
棘手	蓟手
链接	连接
通宵	通霄
人才	人材
抨击	砰击 评击
挑拨	挑拔
公证处	公正处
选拔	选拨
残忍	惨忍
竞争	竟争
账目	帐目
呆愣	呆楞
制高点	置高点
纯净	纯静
怂恿	纵恿
视察	视查
娇宠	骄宠
仓促	伧促
嘚瑟	得瑟
逊色	孙色
体育界	体育届
濒临	频临
灵犀	灵息
旌旗	经旗
气溶胶	气融胶 气榕胶 气容胶 气熔胶 汽溶胶
厉害	历害
窠臼	窠旧
商务舱	商务仓
讲义气	讲意气
多米诺	多米喏
飘洒	漂洒
青年人	轻年人
笑靥	笑恹
健康	建康
对峙	对恃
绿洲	绿州
自诩	自翊 自栩
护堤	护提
淹没	湮没 俺没 掩没
沉默	沉墨
了解	瞭解
伎俩	技俩
光辉	光晖
免疫	兔疫
冗长	戎长
灿烂	璨烂
一炷香	一柱香
载体	裁体
缘分	篆分 喙分 缘份
活性炭	活性碳
内讧	内哄
节俭	节检
搀扶	掺扶
沟通	勾通
横梁	横樑
抱怨	报怨
船舷	船弦 船玄
禅意	婵意
驰骋	驰聘
别扭	憋扭
忏悔	忏侮
敞亮	敝亮
船舶	船泊
范畴	范筹
大概	大慨 大既
晦气	悔气
绊倒	拌倒
通讯	通迅
癖好	辟好
憧憬	幢憬 瞳憬 忡憬 童憬
诋毁	抵毁
掣肘	制肘 掣纣
晨昏	晨婚
厄运	恶运 噩运
天涯	天崖
坍塌	坍蹋
恶劣	恶列
和弦	和玄 和炫
蹙额	處额
概念	既念 慨念
粗略	粗咯
方圆	方园
豢养	蒙养 誊养
葱茏	葱笼 怱茏
容貌	容冒
草根	草跟
破例	破列
采拮	采洁
水浒传	水许传
蹒跚	蹒删
猝然	啐然
池鱼	池宇
凋敝	凋弊 凋蔽
挖掘	挖堀
参差	叄差 椮差
仇恨	仇狠
崛起	倔起
阊阖	阊盍
草垛	草䒳
愤懑	愤闷 愤满
斐然	裴然 霏然
陪伴	培伴
词缀	词叕
闲暇	闲瑕
